"year","iteration","sAg","ppnCUsLowerBM"
9,"35",9661,NA
9,"36",9661,NA
9,"37",9661,NA
9,"38",9661,NA
9,"39",9661,NA
9,"40",9661,NA
9,"41",9661,NA
9,"42",9661,NA
9,"43",9661,NA
9,"44",9661,NA
9,"45",9661,NA
9,"46",9661,NA
9,"47",9661,NA
9,"48",9661,NA
9,"49",9661,NA
9,"50",9661,NA
10,"1",59711,NA
10,"2",59711,NA
10,"3",59711,NA
10,"4",59711,NA
10,"5",59711,NA
10,"6",59711,NA
10,"7",59711,NA
10,"8",59711,NA
10,"9",59711,NA
10,"10",59711,NA
10,"11",59711,NA
10,"12",59711,NA
10,"13",59711,NA
10,"14",59711,NA
10,"15",59711,NA
10,"16",59711,NA
10,"17",59711,NA
10,"18",59711,NA
10,"19",59711,NA
10,"20",59711,NA
10,"21",59711,NA
10,"22",59711,NA
10,"23",59711,NA
10,"24",59711,NA
10,"25",59711,NA
10,"26",59711,NA
10,"27",59711,NA
10,"28",59711,NA
10,"29",59711,NA
10,"30",59711,NA
10,"31",59711,NA
10,"32",59711,NA
10,"33",59711,NA
10,"34",59711,NA
10,"35",59711,NA
10,"36",59711,NA
10,"37",59711,NA
10,"38",59711,NA
10,"39",59711,NA
10,"40",59711,NA
10,"41",59711,NA
10,"42",59711,NA
10,"43",59711,NA
10,"44",59711,NA
10,"45",59711,NA
10,"46",59711,NA
10,"47",59711,NA
10,"48",59711,NA
10,"49",59711,NA
10,"50",59711,NA
11,"1",16939,NA
11,"2",16939,NA
11,"3",16939,NA
11,"4",16939,NA
11,"5",16939,NA
11,"6",16939,NA
11,"7",16939,NA
11,"8",16939,NA
11,"9",16939,NA
11,"10",16939,NA
11,"11",16939,NA
11,"12",16939,NA
11,"13",16939,NA
11,"14",16939,NA
11,"15",16939,NA
11,"16",16939,NA
11,"17",16939,NA
11,"18",16939,NA
11,"19",16939,NA
11,"20",16939,NA
11,"21",16939,NA
11,"22",16939,NA
11,"23",16939,NA
11,"24",16939,NA
11,"25",16939,NA
11,"26",16939,NA
11,"27",16939,NA
11,"28",16939,NA
11,"29",16939,NA
11,"30",16939,NA
11,"31",16939,NA
11,"32",16939,NA
11,"33",16939,NA
11,"34",16939,NA
11,"35",16939,NA
11,"36",16939,NA
11,"37",16939,NA
11,"38",16939,NA
11,"39",16939,NA
11,"40",16939,NA
11,"41",16939,NA
11,"42",16939,NA
11,"43",16939,NA
11,"44",16939,NA
11,"45",16939,NA
11,"46",16939,NA
11,"47",16939,NA
11,"48",16939,NA
11,"49",16939,NA
11,"50",16939,NA
12,"1",22834,NA
12,"2",22834,NA
12,"3",22834,NA
12,"4",22834,NA
12,"5",22834,NA
12,"6",22834,NA
12,"7",22834,NA
12,"8",22834,NA
12,"9",22834,NA
12,"10",22834,NA
12,"11",22834,NA
12,"12",22834,NA
12,"13",22834,NA
12,"14",22834,NA
12,"15",22834,NA
12,"16",22834,NA
